GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
farmer-service,com.farmercustomer.farmerservice.entity,Farmer,285,54,61,1,2,8,36,15,5,15
farmer-service,com.farmercustomer.farmerservice,FarmerServiceApplication,8,0,0,0,3,0,2,0,2,0
farmer-service,com.farmercustomer.farmerservice.controller,FarmerController,0,71,0,4,0,16,0,6,0,4
