GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
price-service,com.farmercustomer.priceservice.controller,PriceController,0,74,0,4,0,17,0,6,0,4
price-service,com.farmercustomer.priceservice,PriceServiceApplication,8,0,0,0,3,0,2,0,2,0
price-service,com.farmercustomer.priceservice.entity,CropPrice,216,37,45,1,3,5,29,10,6,10
