GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
transport-service,com.farmercustomer.transportservice.controller,TransportController,0,198,0,6,0,39,0,10,0,7
transport-service,com.farmercustomer.transportservice,TransportServiceApplication,8,0,0,0,3,0,2,0,2,0
transport-service,com.farmercustomer.transportservice.entity,Delivery,339,43,69,1,8,3,46,11,11,11
